#{"t_start": 1774563021.1454914, "env_id": "None"}
r,l,t
4162.831933,300,16913.41506
4423.524836,300,16955.892149
4150.187363,300,16997.951915
4336.558653,290,17041.574444
4331.789062,290,17085.236917
4150.779757,300,17127.71278
2956.521021,300,17167.222054
2724.320944,300,17207.184711
3655.277952,300,17245.383645
4424.371258,300,17288.867644
4145.80085,300,17330.461262
2405.936748,300,17370.078395
4475.110016,300,17411.504378
4143.620622,300,17453.356055
4335.713033,290,17496.003498
4149.735811,300,17536.385178
4420.539251,300,17578.935349
4465.265584,300,17620.527501
2461.73336,300,17660.478783
4330.899198,290,17702.888121
4331.880001,290,17745.020304
4151.158965,300,17787.09653
4425.974834,300,17830.521873
4423.009891,300,17873.728043
4461.793874,300,17915.581441
4464.874711,300,17955.749451
4147.105419,300,17996.891535
4420.335938,300,18039.331343
4410.699056,300,18082.05472
2976.302118,300,18122.107135
3048.836109,300,18160.886418
4460.282833,300,18202.631202
4143.17413,300,18244.834471
4140.521978,300,18286.904291
4139.714378,300,18329.027321
2800.600003,226,18357.199661
4136.101367,300,18399.040236
4142.33219,300,18441.306761
2546.708326,300,18482.005591
3625.835852,300,18520.299143
4455.699174,300,18560.563719
3627.179087,300,18599.730258
2989.81091,300,18639.630634
4456.823905,300,18680.946186
2798.901105,226,18709.886961
2538.603435,300,18749.006986
4421.952808,300,18791.888019
4169.623193,300,18833.414768
4320.376364,290,18875.796483
2551.450559,300,18916.699805
4124.911342,300,18957.716327
4415.609866,300,19000.257756
2852.459795,300,19039.35541
4462.679566,300,19081.190313
4463.178256,300,19123.040306
4425.940481,300,19165.074529
4149.849763,300,19206.653384
4333.409491,290,19249.546724
4333.314677,290,19291.352297
4321.547671,290,19333.384771
4455.038762,300,19373.719187
4152.406613,300,19415.091056
9846.45498,766,19513.030782
2922.54067,300,19551.070635
4138.980173,300,19592.691033
4462.164963,300,19633.957331
4329.727786,290,19676.3725
2577.891854,300,19716.440344
4133.786405,300,19756.58866
4461.709921,300,19797.851272
4329.54479,290,19839.110404
2440.237551,300,19878.935509
4104.297829,300,19920.688592
4423.121671,300,19962.157654
2440.939829,300,20002.377545
2806.060475,226,20031.496509
4141.147476,300,20073.135375
4462.363844,300,20114.997686
2981.394641,300,20153.626213
2994.226489,300,20193.543993
6035.24352,601,20273.207032
4464.071128,300,20314.99716
4134.910808,300,20355.761228
4458.451784,300,20397.423557
4133.62052,300,20438.988795
4110.093397,300,20480.945781
2597.42994,300,20521.371684
4146.674987,300,20561.966709
4330.769613,290,20604.261072
4423.91477,300,20646.84059
4133.88685,300,20688.989814
4076.580347,300,20727.62639
4412.24396,300,20769.65571
4331.090762,290,20811.72071
4330.172136,290,20854.095165
2797.511191,226,20883.089651
4430.327413,300,20925.355707
4424.426631,300,20967.215958
4334.253575,290,21010.157076
4330.252751,290,21052.44863
4426.513133,300,21095.466107
4468.070609,300,21136.771223
4463.211255,300,21178.175839
4329.341851,290,21220.420182
4456.381793,300,21261.832197
4108.44599,300,21303.275409
4973.746789,601,21383.668592
2432.437929,300,21424.559691
4422.432476,300,21468.31952
4121.043077,300,21510.188424
4150.433624,300,21550.989142
9877.505304,766,21648.911647
4117.585039,300,21690.411764
2932.248066,300,21730.517831
4122.017955,300,21771.234781
4065.437898,300,21810.293738
4113.477133,300,21851.705192
4076.393877,300,21890.093394
4463.655565,300,21931.555794
2586.087639,300,21970.927885
4460.639053,300,22012.59031
3594.810422,300,22051.309496
4456.935579,300,22093.409262
4131.054314,300,22134.833673
2926.706791,300,22173.509979
4454.789685,300,22215.367321
9841.826428,766,22313.934685
2687.884847,300,22352.859093
4324.659576,290,22395.00637
4329.633906,290,22437.608574
4117.974156,300,22479.332546
2933.530902,300,22519.588927
4422.962447,300,22561.563821
4128.217027,300,22603.31707
3599.907419,300,22642.064192
4429.064941,300,22685.010774
4143.090791,300,22726.840384
4419.283671,300,22768.824842
4112.550343,300,22810.716754
4425.741507,300,22853.61624
2786.18702,300,22893.976461
4326.940957,290,22936.353449
2785.474376,226,22965.428403
2584.037215,300,23006.205861
2746.939107,300,23046.843314
4419.374359,300,23089.891403
4141.470838,300,23132.42579
4150.042857,300,23173.449682
4465.551912,300,23215.690259
4147.750908,300,23257.863388
9827.355643,766,23355.141258
4325.597994,290,23398.279804
2927.936814,300,23438.038012
2561.609334,300,23478.071496
4420.061147,300,23521.729373
2967.146184,300,23560.800158
4106.445012,300,23602.966943
4419.457642,300,23646.411443
3569.513534,300,23685.028278
4326.097185,290,23728.160013
4326.75097,290,23769.761793
4321.485526,290,23812.281327
4415.149508,300,23855.152497
4329.360807,290,23898.152796
4115.121525,300,23938.629183
2585.6897,300,23978.951317
4321.842682,290,24022.159889
4092.375619,300,24064.268063
4460.107155,300,24105.959778
5486.795364,601,24185.208721
4124.671468,300,24227.028082
4128.760061,300,24269.115041
4332.835841,290,24311.60119
4147.422828,300,24352.694362
2328.419598,300,24392.830353
4332.454521,290,24435.966007
4329.654187,290,24478.207104
4121.033081,300,24520.07042
4323.103533,290,24561.908865
4025.634526,300,24601.050372
4420.141776,300,24644.199616
2897.954819,300,24684.194781
2818.151488,300,24723.695153
5248.251959,601,24802.609094
4146.172983,300,24845.108483
4448.905356,300,24887.123868
2136.853185,300,24928.058227
2737.098057,300,24966.971436
4418.509909,300,25009.705772
2565.82244,300,25050.100702
2596.045857,300,25090.098584
4022.528059,300,25129.186697
4114.606861,300,25170.399518
19930.495323,1370,25365.092481
2125.325946,300,25405.975754
4322.202153,290,25448.911677
2422.9645,300,25489.025932
2369.61425,300,25529.500371
4137.898688,300,25570.793348
4313.042412,290,25614.169102
4003.807808,300,25653.592085
2767.067457,300,25693.600098
2909.622615,300,25734.092232
4418.083546,300,25776.306368
4120.839044,300,25818.390296
4441.300632,300,25859.806371
